ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
499,20301902,SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMK,C,92.52,0.05
500,10702412,SMAN 5 BENGKULU,BENGKULU,KOTA BENGKULU,SMA,C,92.51,0.05
501,11000433,SMAN 1 TANJUNGPINANG,KEPULAUAN RIAU,KOTA TANJUNGPINANG,SMA,C,92.49,0.05
502,20200685,SMAN 1 CIAWI BOGOR,JAWA BARAT,KAB. BOGOR,SMA,C,92.48,0.05
503,20219248,SMAN 24 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,92.46,0.05
504,20507726,SMAN 1 GEGER,JAWA TIMUR,KAB. MADIUN,SMA,C,92.45,0.05
505,20102569,SMAN 74 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,92.43,0.05
506,11002199,SMAN 5 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA,C,92.42,0.05
507,69965701,SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,92.4,0.05
508,20606502,SMAS ASY SYUKRIYAH,BANTEN,KOTA TANGERANG,SMA,C,92.39,0.05
509,20515429,SMAN 1 NGUNUT,JAWA TIMUR,KAB. TULUNGAGUNG,SMA,C,92.37,0.05
510,69977851,MA ISLAM TERPADU DARUL FIKRI,JAWA TIMUR,KAB. SIDOARJO,MA,C,92.36,0.05
511,70008990,SMA ISLAM AL AZHAR 22,JAWA BARAT,KAB. BEKASI,SMA,C,92.34,0.05
512,20224136,SMK NEGERI 1 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMK,C,92.33,0.05
513,20200885,SMAN 1 CIBINONG,JAWA BARAT,KAB. BOGOR,SMA,C,92.31,0.05
514,20501700,SMAN 4 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA,C,92.3,0.05
515,20309684,SMAN 1 CAWAS,JAWA TENGAH,KAB. KLATEN,SMA,C,92.28,0.05
516,10210858,SMAN 5 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA,C,92.27,0.05
517,20219249,SMAN 23 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,92.25,0.05
518,20522640,SMAN 1 SITUBONDO,JAWA TIMUR,KAB. SITUBONDO,SMA,C,92.24,0.05
519,20300727,SMA NEGERI 3 CILACAP,JAWA TENGAH,KAB. CILACAP,SMA,C,92.22,0.05
520,20532244,SMAN 11 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,92.21,0.05
521,20219720,SMAS DARUL HIKAM BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,92.19,0.05
522,20517737,SMAN 1 TUREN,JAWA TIMUR,KAB. MALANG,SMA,C,92.18,0.05
523,20221561,SMAN 3 SUKABUMI,JAWA BARAT,KOTA SUKABUMI,SMA,C,92.16,0.05
524,20339023,SMA NEGERI 2 PATI,JAWA TENGAH,KAB. PATI,SMA,C,92.15,0.05
525,10601344,SMAN 4 LAHAT,SUMATERA SELATAN,KAB. LAHAT,SMA,C,92.13,0.05
526,20501784,SMAN 1 KRIAN,JAWA TIMUR,KAB. SIDOARJO,SMA,C,92.12,0.05
527,20404175,SMAS PANGUDI LUHUR,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,C,92.1,0.05
528,20280604,SMAS FUTURE GATE,JAWA BARAT,KOTA BEKASI,SMA,C,92.09,0.05
529,20102211,SMAN 43 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,92.07,0.05
530,20401125,SMAN 1 SEYEGAN,DI YOGYAKARTA,KAB. SLEMAN,SMA,C,92.06,0.05
531,20223033,SMAN 2 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,92.04,0.05
532,20103787,SMKN 26 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK,C,92.03,0.05
533,20323399,SMA NEGERI 1 KEDUNGWUNI,JAWA TENGAH,KAB. PEKALONGAN,SMA,C,92.01,0.05
534,20222364,SMAN 1 CIREBON,JAWA BARAT,KOTA CIREBON,SMA,C,92.0,0.05
535,20532151,SMA KATOLIK ST LOUIS 2,JAWA TIMUR,KOTA SURABAYA,SMA,C,91.98,0.05
536,20317501,SMAN 2 KUDUS,JAWA TENGAH,KAB. KUDUS,SMA,C,91.97,0.05
537,20277119,MAN 2 KOTA BOGOR,JAWA BARAT,KOTA BOGOR,MA,C,91.95,0.05
538,20327971,SMAN 6 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,91.94,0.05
539,20402807,SMA NEGERI 1 KALIBAWANG,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,91.92,0.05
540,20309690,SMAN 3 KLATEN,JAWA TENGAH,KAB. KLATEN,SMA,C,91.91,0.05
541,20103279,SMAN 9 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,91.89,0.05
542,20400372,SMA NEGERI 1 SEDAYU,DI YOGYAKARTA,KAB. BANTUL,SMA,C,91.88,0.05
543,69757388,SMAS IT RAUDHATUL JANNAH,BANTEN,KOTA CILEGON,SMA,C,91.86,0.05
544,20534122,SMAN 3 TARUNA ANGKASA MADIUN,JAWA TIMUR,KOTA MADIUN,SMA,C,91.85,0.05
