ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
669,20270492,SMAN 8 DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,89.97,0.05
670,20329509,SMA Negeri 4 Pekalongan,JAWA TENGAH,KOTA PEKALONGAN,SMA,C,89.95,0.05
671,20532205,SMKN 1 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMK,C,89.94,0.05
672,10300299,SMA NEGERI 1 AMPEK ANGKEK,SUMATERA BARAT,KAB. AGAM,SMA,C,89.92,0.05
673,20402810,SMA NEGERI 1 PENGASIH,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,89.91,0.05
674,20330330,SMKN 1 GOMBONG,JAWA TENGAH,KAB. KEBUMEN,SMK,C,89.89,0.05
675,20362990,MAN 2 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,MA,C,89.88,0.05
676,20535052,SMAN 3 BLITAR,JAWA TIMUR,KOTA BLITAR,SMA,C,89.86,0.05
677,20227474,SMAN 1 GARUT,JAWA BARAT,KAB. GARUT,SMA,C,89.85,0.05
678,20302170,SMAN 1 AJIBARANG,JAWA TENGAH,KAB. BANYUMAS,SMA,C,89.83,0.05
679,20323398,SMA NEGERI 1 KAJEN,JAWA TENGAH,KAB. PEKALONGAN,SMA,C,89.82,0.05
680,20177960,MAN 9 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA,C,89.8,0.05
681,20303231,SMAN 1 BOBOTSARI,JAWA TENGAH,KAB. PURBALINGGA,SMA,C,89.79,0.05
682,20541242,SMAN 1 SUMBERREJO,JAWA TIMUR,KAB. BOJONEGORO,SMA,C,89.77,0.05
683,30304598,SMAN 2 BANJARBARU,KALIMANTAN SELATAN,KOTA BANJARBARU,SMA,C,89.76,0.05
684,20606289,SMAN 1 CILEGON,BANTEN,KOTA CILEGON,SMA,C,89.74,0.05
685,40311951,SMAN 17 MAKASSAR,SULAWESI SELATAN,KOTA MAKASSAR,SMA,C,89.73,0.05
686,20532243,SMAN 10 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,89.71,0.05
687,20223043,SMAN 6 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,89.7,0.05
688,20103312,SMAN 51 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,89.68,0.05
689,20100219,SMAN 24 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,C,89.67,0.05
690,50103170,SMAS SARASWATI,BALI,KOTA DENPASAR,SMA,C,89.65,0.05
691,20554539,SMAS BRAWIJAYA SMART SCHOOL,JAWA TIMUR,KOTA MALANG,SMA,C,89.64,0.05
692,10502884,SMAN TITIAN TERAS,JAMBI,KAB. MUARO JAMBI,SMA,C,89.62,0.05
693,20322741,SMA NEGERI 1 SUBAH,JAWA TENGAH,KAB. BATANG,SMA,C,89.61,0.05
694,20362828,MAN 2 CILACAP,JAWA TENGAH,KAB. CILACAP,MA,C,89.59,0.05
695,20330346,SMAS AL ISLAM 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,89.58,0.05
696,20509317,SMAN 1 MAOSPATI,JAWA TIMUR,KAB. MAGETAN,SMA,C,89.56,0.05
697,20501702,SMAN 2 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA,C,89.55,0.05
698,20223040,SMAN 9 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,89.53,0.05
699,50103126,SMAN 2 DENPASAR,BALI,KOTA DENPASAR,SMA,C,89.52,0.05
700,20401193,SMKN 1 DEPOK,DI YOGYAKARTA,KAB. SLEMAN,SMK,C,89.5,0.05
701,20523826,SMAN 4 JEMBER,JAWA TIMUR,KAB. JEMBER,SMA,C,89.49,0.05
702,20320241,SMA NEGERI 2 UNGARAN,JAWA TENGAH,KAB. SEMARANG,SMA,C,89.47,0.05
703,20229147,SMAS BINTARA DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,89.46,0.05
704,20309691,SMKN 1 KLATEN,JAWA TENGAH,KAB. KLATEN,SMK,C,89.44,0.05
705,20411884,MAN 2 KULON PROGO,DI YOGYAKARTA,KAB. KULON PROGO,MA,C,89.43,0.05
706,20321448,SMK NEGERI 2 TEMANGGUNG,JAWA TENGAH,KAB. TEMANGGUNG,SMK,C,89.41,0.05
707,20327586,SMKN 2 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMK,C,89.4,0.05
708,20584134,MAN 1 BLITAR,JAWA TIMUR,KAB. BLITAR,MA,C,89.38,0.05
709,20310420,SMAN 2 SUKOHARJO,JAWA TENGAH,KAB. SUKOHARJO,SMA,C,89.37,0.05
710,20363221,MAS PPMI ASSALAAM,JAWA TENGAH,KAB. SUKOHARJO,MA,C,89.35,0.05
711,20400416,SMK NEGERI 1 BANTUL,DI YOGYAKARTA,KAB. BANTUL,SMK,C,89.34,0.05
712,20402795,SMA NEGERI 1 TEMON,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,89.32,0.05
713,60725017,MAN 10 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,MA,C,89.31,0.05
714,20215991,SMAN 1 SINDANG,JAWA BARAT,KAB. INDRAMAYU,SMA,C,89.29,0.05
715,20219247,SMAN 25 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,89.28,0.05
716,10497552,SMA IT AL ITTIHAD,RIAU,KOTA PEKANBARU,SMA,C,89.26,0.05
717,20533816,SMKN 4 MALANG,JAWA TIMUR,KOTA MALANG,SMK,C,89.25,0.05
718,20100218,SMAN 20 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,C,89.23,0.05
719,20330332,SMKN 1 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,SMK,C,89.22,0.05
720,20219238,SMAN 15 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,89.2,0.05
721,20220334,SMAN 4 BOGOR,JAWA BARAT,KOTA BOGOR,SMA,C,89.19,0.05
722,20331830,SMKS FARMASI NASIONAL SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMK,C,89.17,0.05
723,20505026,SMKN 1 TUBAN,JAWA TIMUR,KAB. TUBAN,SMK,C,89.16,0.05
724,69943715,SMA AL ADZKAR,BANTEN,KOTA TANGERANG SELATAN,SMA,C,89.14,0.05
725,20306806,SMA NEGERI 2 WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMA,C,89.13,0.05
726,20303246,SMAN 2 PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,SMA,C,89.11,0.05
727,20223136,SMKN 1 KOTA BEKASI,JAWA BARAT,KOTA BEKASI,SMK,C,89.1,0.05
728,20325279,SMAN 3 SLAWI,JAWA TENGAH,KAB. TEGAL,SMA,C,89.08,0.05
729,20219240,SMAN 13 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,89.07,0.05
730,20231308,SMAS KORNITA,JAWA BARAT,KAB. BOGOR,SMA,C,89.05,0.05
731,20305025,SMAN 2 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,SMA,C,89.04,0.05
732,50101121,SMAN 1 TABANAN,BALI,KAB. TABANAN,SMA,C,89.02,0.05
733,20502724,SMAN 1 MOJOSARI,JAWA TIMUR,KAB. MOJOKERTO,SMA,C,89.01,0.05
734,20305026,SMAN 1 PREMBUN,JAWA TENGAH,KAB. KEBUMEN,SMA,C,88.99,0.05
735,10901156,SMKN 1 PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,SMK,C,88.98,0.05
736,20584616,MAN SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,MA,C,88.96,0.05
737,50101696,SMAN 1 KUTA UTARA,BALI,KAB. BADUNG,SMA,C,88.95,0.05
738,20508468,SMKN 1 NGAWI,JAWA TIMUR,KAB. NGAWI,SMK,C,88.93,0.05
739,20275048,SMAN 16 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,88.92,0.05
740,20501695,SMKN 2 BUDURAN,JAWA TIMUR,KAB. SIDOARJO,SMK,C,88.9,0.05
741,20323503,SMA NEGERI 1 WIRADESA,JAWA TENGAH,KAB. PEKALONGAN,SMA,C,88.89,0.05
742,20322744,SMA NEGERI 1 BATANG,JAWA TENGAH,KAB. BATANG,SMA,C,88.87,0.05
743,20229150,SMAS CAKRA BUANA,JAWA BARAT,KOTA DEPOK,SMA,C,88.86,0.05
744,20219277,SMAS YAS BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,88.84,0.05
745,20519303,SMAN 1 BANGIL,JAWA TIMUR,KAB. PASURUAN,SMA,C,88.83,0.05
746,20219257,SMAN 10 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,88.81,0.05
747,20531146,SMAN 1 BANGKALAN,JAWA TIMUR,KAB. BANGKALAN,SMA,C,88.8,0.05
748,50103632,SMAN 8 DENPASAR,BALI,KOTA DENPASAR,SMA,C,88.78,0.05
749,20317499,SMKN 1 KUDUS,JAWA TENGAH,KAB. KUDUS,SMK,C,88.77,0.05
750,20107306,SMAS ISLAM AL-AZHAR 3 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,88.75,0.05
751,20533813,SMKN 1 MALANG,JAWA TIMUR,KOTA MALANG,SMK,C,88.74,0.05
752,10303090,SMA N 1 PASAMAN,SUMATERA BARAT,KAB. PASAMAN BARAT,SMA,C,88.72,0.05
753,20320244,SMA NEGERI 1 TENGARAN,JAWA TENGAH,KAB. SEMARANG,SMA,C,88.71,0.05
754,10263753,MAS KMI DINIYAH PUTERI,SUMATERA BARAT,KOTA PADANG PANJANG,MA,C,88.69,0.05
755,20532232,SMAN 21 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,88.68,0.05
756,20107289,SMA CHARITAS,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,88.66,0.05
757,20403144,SMAS SANTA MARIA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,C,88.65,0.05
758,20231717,SMAS NASIONAL 1,JAWA BARAT,KOTA BEKASI,SMA,C,88.63,0.05
759,20238003,SMAS AL - MUSLIM,JAWA BARAT,KAB. BEKASI,SMA,C,88.62,0.05
760,30304280,SMAN 1 BANJARMASIN,KALIMANTAN SELATAN,KOTA BANJARMASIN,SMA,C,88.6,0.05
761,10303781,SMAN 1 SOLOK,SUMATERA BARAT,KOTA SOLOK,SMA,C,88.59,0.05
762,20220316,SMAS PESAT,JAWA BARAT,KOTA BOGOR,SMA,C,88.57,0.05
763,20313845,SMAN 1 PURWODADI,JAWA TENGAH,KAB. GROBOGAN,SMA,C,88.56,0.05
764,20510100,SMKN 1 PONOROGO,JAWA TIMUR,KAB. PONOROGO,SMK,C,88.54,0.05
765,20613768,SMAN 6 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,SMA,C,88.53,0.05
766,20403295,SMKN 7 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMK,C,88.51,0.05
767,20514351,SMAN 1 GARUM,JAWA TIMUR,KAB. BLITAR,SMA,C,88.5,0.05
768,20331899,SMA DON BOSKO,JAWA TENGAH,KOTA SEMARANG,SMA,C,88.48,0.05
769,20218378,SMAN 1 CIKARANG SELATAN,JAWA BARAT,KAB. BEKASI,SMA,C,88.47,0.05
770,20224112,SMA NEGERI 5 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA,C,88.45,0.05
771,20101605,SMAN 56 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,C,88.44,0.05
772,20521711,SMAN 2 BONDOWOSO,JAWA TIMUR,KAB. BONDOWOSO,SMA,C,88.42,0.05
773,10203537,SMAN 1 SIDIKALANG,SUMATERA UTARA,KAB. DAIRI,SMA,C,88.41,0.05
774,20107589,SMAS GLOBAL ISLAMIC SCHOOL,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,88.39,0.05
775,20101583,SMAN 96 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,C,88.38,0.05
776,20534385,SMA NEGERI 5 TARUNA BRAWIJAYA JAWA TIMUR,JAWA TIMUR,KOTA KEDIRI,SMA,C,88.36,0.05
777,20532211,SMKN 5 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMK,C,88.35,0.05
778,20517732,SMAN 1 PAGAK,JAWA TIMUR,KAB. MALANG,SMA,C,88.33,0.05
779,20328910,SMA NEGERI 13,JAWA TENGAH,KOTA SEMARANG,SMA,C,88.32,0.05
780,69972822,SMA IT ADZKIA,JAWA BARAT,KAB. SUKABUMI,SMA,C,88.3,0.05
781,30401058,SMA Negeri 3 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA,C,88.29,0.05
782,20102587,SMKN 20 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK,C,88.27,0.05
783,69872144,SMAN 19 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA,C,88.26,0.05
784,20100779,SMAN 75 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA,C,88.24,0.05
785,20504480,SMAN 4 BOJONEGORO,JAWA TIMUR,KAB. BOJONEGORO,SMA,C,88.23,0.05
786,10303610,SMAN 2 PADANG PANJANG,SUMATERA BARAT,KOTA PADANG PANJANG,SMA,C,88.21,0.05
787,20607924,SMAN 15 TANGERANG,BANTEN,KOTA TANGERANG,SMA,C,88.2,0.05
788,20177956,MAN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA,C,88.18,0.05
789,20534383,SMAN 7 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMA,C,88.17,0.05
790,20318339,SMA NEGERI 1 PECANGAAN,JAWA TENGAH,KAB. JEPARA,SMA,C,88.15,0.05
791,20532118,SMAS TRI MURTI SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,88.14,0.05
792,20538325,SMAN 1 TANJUNGANOM,JAWA TIMUR,KAB. NGANJUK,SMA,C,88.12,0.05
793,30403011,SMAS SF Assisi Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA,C,88.11,0.05
794,11000434,SMAN 2 TANJUNGPINANG,KEPULAUAN RIAU,KOTA TANJUNGPINANG,SMA,C,88.09,0.05
795,20606847,SMAN 3 TANGERANG,BANTEN,KOTA TANGERANG,SMA,C,88.08,0.05
796,20363180,MAN PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,MA,C,88.06,0.05
797,20339024,SMA NEGERI 3 PATI,JAWA TENGAH,KAB. PATI,SMA,C,88.05,0.05
798,20219145,SMKN 3 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK,C,88.03,0.05
799,20506254,SMA NEGERI 2 LAMONGAN,JAWA TIMUR,KAB. LAMONGAN,SMA,C,88.02,0.05
800,20317493,SMAN 1 JEKULO KUDUS,JAWA TENGAH,KAB. KUDUS,SMA,C,88.0,0.05
801,20219239,SMAN 14 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,87.99,0.05
802,20253307,SMKN 3 KOTA BEKASI,JAWA BARAT,KOTA BEKASI,SMK,C,87.97,0.05
803,20224540,SMA AL MUTTAQIN,JAWA BARAT,KOTA TASIKMALAYA,SMA,C,87.96,0.05
804,69933838,SMA IT FITHRAH INSANI,JAWA BARAT,KAB. BANDUNG BARAT,SMA,C,87.94,0.05
805,20523845,SMAN 1 KENCONG,JAWA TIMUR,KAB. JEMBER,SMA,C,87.93,0.05
806,20311307,SMAN 1 BATURETNO,JAWA TENGAH,KAB. WONOGIRI,SMA,C,87.91,0.05
807,20613785,SMAN 23 KABUPATEN TANGERANG,BANTEN,KAB. TANGERANG,SMA,C,87.9,0.05
808,10404022,SMAS SANTA MARIA,RIAU,KOTA PEKANBARU,SMA,C,87.88,0.05
809,10219919,SMAS HARAPAN 3 DELI TUA,SUMATERA UTARA,KAB. DELI SERDANG,SMA,C,87.87,0.05
810,20103293,SMAN 102 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,87.85,0.05
811,20303240,SMKN 1 PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,SMK,C,87.84,0.05
812,50103179,SMAS KRISTEN HARAPAN,BALI,KOTA DENPASAR,SMA,C,87.82,0.05
813,20529954,SMAN 1 SUMENEP,JAWA TIMUR,KAB. SUMENEP,SMA,C,87.81,0.05
814,30405623,SMAN 2 SANGATTA UTARA,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,SMA,C,87.79,0.05
815,50203310,SMAN 1 SUMBAWA BESAR,NUSA TENGGARA BARAT,KAB. SUMBAWA,SMA,C,87.78,0.05
816,20511953,SMAN 1 PARE,JAWA TIMUR,KAB. KEDIRI,SMA,C,87.76,0.05
817,20402817,SMK N 2 PENGASIH,DI YOGYAKARTA,KAB. KULON PROGO,SMK,C,87.75,0.05
818,20402124,SMAN 1 KARANGMOJO,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA,C,87.73,0.05
819,20324218,SMAN 1 COMAL,JAWA TENGAH,KAB. PEMALANG,SMA,C,87.72,0.05
820,20220335,SMAN 6 BOGOR,JAWA BARAT,KOTA BOGOR,SMA,C,87.7,0.05
821,20229175,SMAS SEJAHTERA 1 DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,87.69,0.05
822,20364979,MAS AL HIKMAH 2,JAWA TENGAH,KAB. BREBES,MA,C,87.67,0.05
823,30105075,SMAS GEMBALA BAIK PONTIANAK,KALIMANTAN BARAT,KOTA PONTIANAK,SMA,C,87.66,0.05
824,20107320,SMAN 79 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,87.64,0.05
825,20231719,SMAN 13 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,87.63,0.05
826,10303504,SMAN 7 PADANG,SUMATERA BARAT,KOTA PADANG,SMA,C,87.61,0.05
827,10211680,SMAS KALAM KUDUS,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SMA,C,87.6,0.05
828,50105492,SMAN BALI MANDARA,BALI,KAB. BULELENG,SMA,C,87.58,0.05
829,20206214,SMKN 1 KATAPANG,JAWA BARAT,KAB. BANDUNG,SMK,C,87.57,0.05
830,20321835,SMAN 1 SUKOREJO,JAWA TENGAH,KAB. KENDAL,SMA,C,87.55,0.05
831,20403280,SMKN 2 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMK,C,87.54,0.05
832,20222311,SMAN 6 CIREBON,JAWA BARAT,KOTA CIREBON,SMA,C,87.52,0.05
833,20551724,SMAN 1 SUTOJAYAN,JAWA TIMUR,KAB. BLITAR,SMA,C,87.51,0.05
834,69893110,SMA DAARUT TAUHIID BOARDING SCHOOL,JAWA BARAT,KAB. BANDUNG BARAT,SMA,C,87.49,0.05
835,20302168,SMAN 4 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMA,C,87.48,0.05
836,20321429,SMA NEGERI 1 CANDIROTO,JAWA TENGAH,KAB. TEMANGGUNG,SMA,C,87.46,0.05
837,20216938,SMAN 1 SUBANG,JAWA BARAT,KAB. SUBANG,SMA,C,87.45,0.05
838,20525855,SMAN 1 GIRI,JAWA TIMUR,KAB. BANYUWANGI,SMA,C,87.43,0.05
839,20102580,SMK NEGERI 41 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK,C,87.42,0.05
840,20321974,SMAN 1 BOJA,JAWA TENGAH,KAB. KENDAL,SMA,C,87.4,0.05
841,10508041,MAN 1 KOTA LUBUK LINGGAU,SUMATERA SELATAN,KOTA LUBUK LINGGAU,MA,C,87.39,0.05
842,50103122,SMAN 5 DENPASAR,BALI,KOTA DENPASAR,SMA,C,87.37,0.05
843,60725005,MAN 12 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,MA,C,87.36,0.05
844,40306507,SMAS KRISTEN BARANA,SULAWESI SELATAN,KAB. TORAJA UTARA,SMA,C,87.34,0.05
845,69954194,SMA ISLAM AL - AZHAR 18 GRAND WISATA,JAWA BARAT,KAB. BEKASI,SMA,C,87.33,0.05
846,20103230,SMAS ISLAM PB SOEDIRMAN,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,87.31,0.05
847,20362931,MAN 1 JEPARA,JAWA TENGAH,KAB. JEPARA,MA,C,87.3,0.05
848,20270776,SMAN 2 GUNUNG PUTRI,JAWA BARAT,KAB. BOGOR,SMA,C,87.28,0.05
849,20580038,MAN KOTA BATU,JAWA TIMUR,KOTA BATU,MA,C,87.27,0.05
850,20308441,SMAN 1 TERAS,JAWA TENGAH,KAB. BOYOLALI,SMA,C,87.25,0.05
851,20219146,SMKN 2 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK,C,87.24,0.05
852,20584211,MAN 1 MALANG,JAWA TIMUR,KAB. MALANG,MA,C,87.22,0.05
853,50102779,SMAN 2 AMLAPURA,BALI,KAB. KARANG ASEM,SMA,C,87.21,0.05
854,20219144,SMKN 4 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK,C,87.19,0.05
855,20525861,SMAN 1 ROGOJAMPI,JAWA TIMUR,KAB. BANYUWANGI,SMA,C,87.18,0.05
856,20315695,SMA NEGERI 1 LASEM,JAWA TENGAH,KAB. REMBANG,SMA,C,87.16,0.05
857,20220321,SMAS KOSGORO,JAWA BARAT,KOTA BOGOR,SMA,C,87.15,0.05
858,20330282,SMAN 1 KARANGANYAR,JAWA TENGAH,KAB. KEBUMEN,SMA,C,87.13,0.05
859,20504487,SMAN 1 PADANGAN,JAWA TIMUR,KAB. BOJONEGORO,SMA,C,87.12,0.05
860,20305011,SMAN 1 KLIRONG,JAWA TENGAH,KAB. KEBUMEN,SMA,C,87.1,0.05
861,50101705,SMAN 1 KUTA,BALI,KAB. BADUNG,SMA,C,87.09,0.05
862,20229174,SMA PUTRA BANGSA,JAWA BARAT,KOTA DEPOK,SMA,C,87.07,0.05
863,20177959,MAN 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA,C,87.06,0.05
864,20220338,SMAN 9 BOGOR,JAWA BARAT,KOTA BOGOR,SMA,C,87.04,0.05
865,20308445,SMAN 1 NGEMPLAK,JAWA TENGAH,KAB. BOYOLALI,SMA,C,87.03,0.05
866,20510134,SMAN 1 BADEGAN,JAWA TIMUR,KAB. PONOROGO,SMA,C,87.01,0.05
867,20303942,SMKN 1 BAWANG,JAWA TENGAH,KAB. BANJARNEGARA,SMK,C,87.0,0.05
868,20517731,SMAN 1 NGANTANG,JAWA TIMUR,KAB. MALANG,SMA,C,86.98,0.05
869,20220327,SMAS INSAN KAMIL,JAWA BARAT,KOTA BOGOR,SMA,C,86.97,0.05
870,20318318,SMK NEGERI 3 JEPARA,JAWA TENGAH,KAB. JEPARA,SMK,C,86.95,0.05
871,20306173,SMAN 5 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA,C,86.94,0.05
872,20109246,SMKN 62 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK,C,86.92,0.05
873,10404013,SMA NEGERI 2 PEKANBARU,RIAU,KOTA PEKANBARU,SMA,C,86.91,0.05
874,20363271,MAS ALI MAKSUM,DI YOGYAKARTA,KAB. BANTUL,MA,C,86.89,0.05
875,10900232,SMAN 1 SUNGAI LIAT,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,SMA,C,86.88,0.05
876,69866096,SMA AL MINHAJ,JAWA BARAT,KAB. BOGOR,SMA,C,86.86,0.05
877,20218379,SMAN 2 TAMBUN SELATAN,JAWA BARAT,KAB. BEKASI,SMA,C,86.85,0.05
878,20623136,SMAS ISLAM TERPADU ALIA TANGERANG,BANTEN,KAB. TANGERANG,SMA,C,86.83,0.05
879,20319280,SMAN 1 DEMAK,JAWA TENGAH,KAB. DEMAK,SMA,C,86.82,0.05
880,20312189,SMAN 2 KARANGANYAR,JAWA TENGAH,KAB. KARANGANYAR,SMA,C,86.8,0.05
881,20325258,SMKN 1 SLAWI,JAWA TENGAH,KAB. TEGAL,SMK,C,86.79,0.05
882,20603346,SMAS ISLAMIC VILLAGE,BANTEN,KAB. TANGERANG,SMA,C,86.77,0.05
883,20511958,SMAN 1 KANDAT,JAWA TIMUR,KAB. KEDIRI,SMA,C,86.76,0.05
884,10303501,SMAN 4 PADANG,SUMATERA BARAT,KOTA PADANG,SMA,C,86.74,0.05
885,20363035,MAN SALATIGA,JAWA TENGAH,KOTA SALATIGA,MA,C,86.73,0.05
886,20309688,SMAN 1 WONOSARI,JAWA TENGAH,KAB. KLATEN,SMA,C,86.71,0.05
887,20224109,SMA NEGERI 4 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA,C,86.7,0.05
888,20400396,SMA PANGUDI LUHUR SEDAYU,DI YOGYAKARTA,KAB. BANTUL,SMA,C,86.68,0.05
889,20532233,SMAN 22 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,86.67,0.05
890,30401059,SMA Negeri 2 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA,C,86.65,0.05
891,10210853,SMAN 2 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA,C,86.64,0.05
892,20274909,SMAS ISTIQAMAH,JAWA BARAT,KOTA BANDUNG,SMA,C,86.62,0.05
893,20310418,SMAN 1 TAWANGSARI,JAWA TENGAH,KAB. SUKOHARJO,SMA,C,86.61,0.05
894,20231720,SMAN 14 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,86.59,0.05
895,20312172,SMAN KEBAKKRAMAT,JAWA TENGAH,KAB. KARANGANYAR,SMA,C,86.58,0.05
896,69984672,SMAIT NURUL ILMI,JAMBI,KOTA JAMBI,SMA,C,86.56,0.05
897,20300729,SMA NEGERI 1 SIDAREJA,JAWA TENGAH,KAB. CILACAP,SMA,C,86.55,0.05
898,69851425,SMA NEGERI 10 DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,86.53,0.05
899,20532261,SMAN 7 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA,C,86.52,0.05
900,69918146,SMAN 4 CIBINONG,JAWA BARAT,KAB. BOGOR,SMA,C,86.5,0.05
901,10201985,SMA NEGERI 1 KABANJAHE,SUMATERA UTARA,KAB. KARO,SMA,C,86.49,0.05
902,20363220,MAS AL MUKMIN NGRUKI,JAWA TENGAH,KAB. SUKOHARJO,MA,C,86.47,0.05
903,69899184,SMA MUHAMMADIYAH 04 DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,86.46,0.05
904,20219237,SMAN 16 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,86.44,0.05
905,20302183,SMA NEGERI 1 JATILAWANG,JAWA TENGAH,KAB. BANYUMAS,SMA,C,86.43,0.05
906,20307713,SMAN 1 MERTOYUDAN,JAWA TENGAH,KAB. MAGELANG,SMA,C,86.41,0.05
907,20232466,SMKN 1 BOJONG GEDE,JAWA BARAT,KAB. BOGOR,SMK,C,86.4,0.05
908,20317564,SMKS RADEN UMAR SAID KUDUS,JAWA TENGAH,KAB. KUDUS,SMK,C,86.38,0.05
909,20219178,SMKN 1 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK,C,86.37,0.05
910,11002198,SMAN 4 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA,C,86.35,0.05
911,20307727,SMAN 1 GRABAG,JAWA TENGAH,KAB. MAGELANG,SMA,C,86.34,0.05
912,20523828,SMAN AMBULU,JAWA TIMUR,KAB. JEMBER,SMA,C,86.32,0.05
913,69986644,SMAS ISLAM TERPADU ULIL ALBAB,KEPULAUAN RIAU,KOTA BATAM,SMA,C,86.31,0.05
914,20300728,SMA NEGERI 2 CILACAP,JAWA TENGAH,KAB. CILACAP,SMA,C,86.29,0.05
