Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
875,10900232,SMAN 1 SUNGAI LIAT,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,SMA
876,69866096,SMA AL MINHAJ,JAWA BARAT,KAB. BOGOR,SMA
877,20218379,SMAN 2 TAMBUN SELATAN,JAWA BARAT,KAB. BEKASI,SMA
878,20623136,SMAS ISLAM TERPADU ALIA TANGERANG,BANTEN,KAB. TANGERANG,SMA
879,20319280,SMAN 1 DEMAK,JAWA TENGAH,KAB. DEMAK,SMA
880,20312189,SMAN 2 KARANGANYAR,JAWA TENGAH,KAB. KARANGANYAR,SMA
881,20325258,SMKN 1 SLAWI,JAWA TENGAH,KAB. TEGAL,SMK
882,20603346,SMAS ISLAMIC VILLAGE,BANTEN,KAB. TANGERANG,SMA
883,20511958,SMAN 1 KANDAT,JAWA TIMUR,KAB. KEDIRI,SMA
884,10303501,SMAN 4 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
885,20363035,MAN SALATIGA,JAWA TENGAH,KOTA SALATIGA,MA
886,20309688,SMAN 1 WONOSARI,JAWA TENGAH,KAB. KLATEN,SMA
887,20224109,SMA NEGERI 4 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA
888,20400396,SMA PANGUDI LUHUR SEDAYU,DI YOGYAKARTA,KAB. BANTUL,SMA
889,20532233,SMAN 22 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
890,30401059,SMA Negeri 2 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
891,10210853,SMAN 2 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
892,20274909,SMAS ISTIQAMAH,JAWA BARAT,KOTA BANDUNG,SMA
893,20310418,SMAN 1 TAWANGSARI,JAWA TENGAH,KAB. SUKOHARJO,SMA
894,20231720,SMAN 14 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
895,20312172,SMAN KEBAKKRAMAT,JAWA TENGAH,KAB. KARANGANYAR,SMA
896,69984672,SMAIT NURUL ILMI,JAMBI,KOTA JAMBI,SMA
897,20300729,SMA NEGERI 1 SIDAREJA,JAWA TENGAH,KAB. CILACAP,SMA
898,69851425,SMA NEGERI 10 DEPOK,JAWA BARAT,KOTA DEPOK,SMA
899,20532261,SMAN 7 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
900,69918146,SMAN 4 CIBINONG,JAWA BARAT,KAB. BOGOR,SMA
901,10201985,SMA NEGERI 1 KABANJAHE,SUMATERA UTARA,KAB. KARO,SMA
902,20363220,MAS AL MUKMIN NGRUKI,JAWA TENGAH,KAB. SUKOHARJO,MA
903,69899184,SMA MUHAMMADIYAH 04 DEPOK,JAWA BARAT,KOTA DEPOK,SMA
904,20219237,SMAN 16 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
905,20302183,SMA NEGERI 1 JATILAWANG,JAWA TENGAH,KAB. BANYUMAS,SMA
906,20307713,SMAN 1 MERTOYUDAN,JAWA TENGAH,KAB. MAGELANG,SMA
907,20232466,SMKN 1 BOJONG GEDE,JAWA BARAT,KAB. BOGOR,SMK
908,20317564,SMKS RADEN UMAR SAID KUDUS,JAWA TENGAH,KAB. KUDUS,SMK
909,20219178,SMKN 1 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK
910,11002198,SMAN 4 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
911,20307727,SMAN 1 GRABAG,JAWA TENGAH,KAB. MAGELANG,SMA
912,20523828,SMAN AMBULU,JAWA TIMUR,KAB. JEMBER,SMA
913,69986644,SMAS ISLAM TERPADU ULIL ALBAB,KEPULAUAN RIAU,KOTA BATAM,SMA
914,20300728,SMA NEGERI 2 CILACAP,JAWA TENGAH,KAB. CILACAP,SMA
915,20517735,SMAN 1 SUMBERPUCUNG,JAWA TIMUR,KAB. MALANG,SMA
916,20217357,SMAN 1 PURWAKARTA,JAWA BARAT,KAB. PURWAKARTA,SMA
917,20302173,SMAN 1 SOKARAJA,JAWA TENGAH,KAB. BANYUMAS,SMA
918,20223042,SMAN 7 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
919,20224510,SMA Negeri 2 Tasikmalaya,JAWA BARAT,KOTA TASIKMALAYA,SMA
920,20318342,SMA NEGERI 1 DONOROJO,JAWA TENGAH,KAB. JEPARA,SMA
921,50102078,SMAN 1 BLAHBATUH,BALI,KAB. GIANYAR,SMA
922,20103791,SMKN 10 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK
923,20102230,SMAN 108 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
924,20402809,SMA NEGERI 1 LENDAH,DI YOGYAKARTA,KAB. KULON PROGO,SMA
925,40310213,SMAS ISLAM ATHIRAH,SULAWESI SELATAN,KOTA MAKASSAR,SMA
926,20102597,SMKN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK
927,20363187,MAN PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,MA
928,69774571,SMAS IT DARUT TAQWA,JAWA TIMUR,KAB. PONOROGO,SMA
929,20331953,SMAS MUHAMMADIYAH WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMA
930,20511006,SMAN 1 NGADIROJO,JAWA TIMUR,KAB. PACITAN,SMA
931,20327973,SMAN 8 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
932,20511952,SMAN 1 PLEMAHAN,JAWA TIMUR,KAB. KEDIRI,SMA
933,10107310,SMAS LAB SCHOOL,ACEH,KOTA BANDA ACEH,SMA
934,20503372,SMK NEGERI 3 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMK
935,20100200,SMAN 7 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
936,20227827,SMA TERPADU BAITURRAHMAN,JAWA BARAT,KAB. BANDUNG,SMA
937,10700669,SMAN 1 REJANG LEBONG,BENGKULU,KAB. REJANG LEBONG,SMA
938,20100812,SMAN 45 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
939,20277070,MAN 2 Kota Bandung,JAWA BARAT,KOTA BANDUNG,MA
940,30401516,SMKN 1 BALIKPAPAN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMK
941,20546530,SMAS TUNAS LUHUR,JAWA TIMUR,KAB. PROBOLINGGO,SMA
942,20327935,SMAS BATIK 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
943,11002189,SMAS KARTINI,KEPULAUAN RIAU,KOTA BATAM,SMA
944,20536818,SMAN 2 BATU,JAWA TIMUR,KOTA BATU,SMA
945,20363027,MAN KOTA MAGELANG,JAWA TENGAH,KOTA MAGELANG,MA
946,20231303,SMAS NURUL HIKMAH,JAWA BARAT,KAB. BOGOR,SMA
947,10600905,SMAN 1 UNGGULAN MUARA ENIM,SUMATERA SELATAN,KAB. MUARA ENIM,SMA
948,10210864,SMAN 15 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
949,20219141,SMKN 7 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK
950,20537011,SMAN 1 KEBOMAS,JAWA TIMUR,KAB. GRESIK,SMA
951,20532262,SMAN 8 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
952,30315160,MAN 2 SAMARINDA,KALIMANTAN TIMUR,KOTA SAMARINDA,MA
953,10807070,SMAN 9 BANDAR LAMPUNG,LAMPUNG,KOTA BANDAR LAMPUNG,SMA
954,20326490,SMAN 1 BUMIAYU,JAWA TENGAH,KAB. BREBES,SMA
955,30203478,SMAN 2 PALANGKA RAYA,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,SMA
956,20407372,SMAS TERPADU BINA UMAT,DI YOGYAKARTA,KAB. SLEMAN,SMA
957,20306174,SMAN 4 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA
958,69728578,SMAS IT AL FIDAA,JAWA BARAT,KAB. BEKASI,SMA
959,20103302,SMAN 76 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
960,20311331,SMAN 2 WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,SMA
961,10603844,SMA NEGERI 03 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
962,20324212,SMAN 2 PEMALANG,JAWA TENGAH,KAB. PEMALANG,SMA
963,20535098,SMKN 2 BLITAR,JAWA TIMUR,KOTA BLITAR,SMK
964,20500481,SMAN 1 CERME,JAWA TIMUR,KAB. GRESIK,SMA
965,20502721,SMAN 1 GEDEG,JAWA TIMUR,KAB. MOJOKERTO,SMA
966,20501698,SMAN 1 WONOAYU,JAWA TIMUR,KAB. SIDOARJO,SMA
967,20177926,MAN 11 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,MA
968,69763270,SMAS IT BAITUL MUSLIM,LAMPUNG,KAB. LAMPUNG TIMUR,SMA
969,69950015,SMA Islam Terpadu Granada,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
970,20309672,SMKN 1 PEDAN,JAWA TENGAH,KAB. KLATEN,SMK
971,60300625,SMAN 1 MERAUKE,PAPUA,KAB. MERAUKE,SMA
972,20538321,SMAN 1 NGANJUK,JAWA TIMUR,KAB. NGANJUK,SMA
973,20606856,SMAS YUPPENTEK 1,BANTEN,KOTA TANGERANG,SMA
974,20503375,SMK NEGERI 1 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMK
975,20606851,SMAN 11 TANGERANG,BANTEN,KOTA TANGERANG,SMA
976,20232396,SMAS PGRI CIBINONG,JAWA BARAT,KAB. BOGOR,SMA
977,20503407,SMA NEGERI NGORO,JAWA TIMUR,KAB. JOMBANG,SMA
978,20536297,SMAN 2 PROBOLINGGO,JAWA TIMUR,KOTA PROBOLINGGO,SMA
979,69760562,SMAN 18 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
980,20517766,SMKN 1 SINGOSARI,JAWA TIMUR,KAB. MALANG,SMK
981,20363028,MAN 1 KOTA PEKALONGAN,JAWA TENGAH,KOTA PEKALONGAN,MA
982,20232371,SMAN 1 TAJURHALANG,JAWA BARAT,KAB. BOGOR,SMA
983,20103781,SMKN 51 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK
984,20508492,SMAN 2 NGAWI,JAWA TIMUR,KAB. NGAWI,SMA
985,20540064,SMAS MUHAMMADIYAH 2,JAWA TIMUR,KAB. SIDOARJO,SMA
986,20221590,SMAS MARDI YUANA,JAWA BARAT,KOTA SUKABUMI,SMA
987,20223019,SMAN 10 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
988,20606848,SMAN 2 TANGERANG,BANTEN,KOTA TANGERANG,SMA
989,50101706,SMAN 1 KUTA SELATAN,BALI,KAB. BADUNG,SMA
990,30401066,SMA Negeri 1 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
991,20503411,SMA NEGERI BARENG,JAWA TIMUR,KAB. JOMBANG,SMA
992,20314906,SMAN 2 CEPU,JAWA TENGAH,KAB. BLORA,SMA
993,20221559,SMAN 1 SUKABUMI,JAWA BARAT,KOTA SUKABUMI,SMA
994,20542496,SMAN 1 DURENAN,JAWA TIMUR,KAB. TRENGGALEK,SMA
995,20537286,SMKN 1 BOYOLANGU,JAWA TIMUR,KAB. TULUNGAGUNG,SMK
996,10403902,SMK NEGERI 1 PEKANBARU,RIAU,KOTA PEKANBARU,SMK
997,20313849,SMAN 1 GUBUG,JAWA TENGAH,KAB. GROBOGAN,SMA
998,10901104,SMAN 1 PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,SMA
999,20580755,MAN KOTA SURABAYA,JAWA TIMUR,KOTA SURABAYA,MA
1000,20303985,SMAN 1 BAWANG,JAWA TENGAH,KAB. BANJARNEGARA,SMA
