Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
669,20270492,SMAN 8 DEPOK,JAWA BARAT,KOTA DEPOK,SMA
670,20329509,SMA Negeri 4 Pekalongan,JAWA TENGAH,KOTA PEKALONGAN,SMA
671,20532205,SMKN 1 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMK
672,10300299,SMA NEGERI 1 AMPEK ANGKEK,SUMATERA BARAT,KAB. AGAM,SMA
673,20402810,SMA NEGERI 1 PENGASIH,DI YOGYAKARTA,KAB. KULON PROGO,SMA
674,20330330,SMKN 1 GOMBONG,JAWA TENGAH,KAB. KEBUMEN,SMK
675,20362990,MAN 2 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,MA
676,20535052,SMAN 3 BLITAR,JAWA TIMUR,KOTA BLITAR,SMA
677,20227474,SMAN 1 GARUT,JAWA BARAT,KAB. GARUT,SMA
678,20302170,SMAN 1 AJIBARANG,JAWA TENGAH,KAB. BANYUMAS,SMA
679,20323398,SMA NEGERI 1 KAJEN,JAWA TENGAH,KAB. PEKALONGAN,SMA
680,20177960,MAN 9 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA
681,20303231,SMAN 1 BOBOTSARI,JAWA TENGAH,KAB. PURBALINGGA,SMA
682,20541242,SMAN 1 SUMBERREJO,JAWA TIMUR,KAB. BOJONEGORO,SMA
683,30304598,SMAN 2 BANJARBARU,KALIMANTAN SELATAN,KOTA BANJARBARU,SMA
684,20606289,SMAN 1 CILEGON,BANTEN,KOTA CILEGON,SMA
685,40311951,SMAN 17 MAKASSAR,SULAWESI SELATAN,KOTA MAKASSAR,SMA
686,20532243,SMAN 10 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
687,20223043,SMAN 6 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
688,20103312,SMAN 51 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
689,20100219,SMAN 24 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
690,50103170,SMAS SARASWATI,BALI,KOTA DENPASAR,SMA
691,20554539,SMAS BRAWIJAYA SMART SCHOOL,JAWA TIMUR,KOTA MALANG,SMA
692,10502884,SMAN TITIAN TERAS,JAMBI,KAB. MUARO JAMBI,SMA
693,20322741,SMA NEGERI 1 SUBAH,JAWA TENGAH,KAB. BATANG,SMA
694,20362828,MAN 2 CILACAP,JAWA TENGAH,KAB. CILACAP,MA
695,20330346,SMAS AL ISLAM 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
696,20509317,SMAN 1 MAOSPATI,JAWA TIMUR,KAB. MAGETAN,SMA
697,20501702,SMAN 2 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA
698,20223040,SMAN 9 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
699,50103126,SMAN 2 DENPASAR,BALI,KOTA DENPASAR,SMA
700,20401193,SMKN 1 DEPOK,DI YOGYAKARTA,KAB. SLEMAN,SMK
701,20523826,SMAN 4 JEMBER,JAWA TIMUR,KAB. JEMBER,SMA
702,20320241,SMA NEGERI 2 UNGARAN,JAWA TENGAH,KAB. SEMARANG,SMA
703,20229147,SMAS BINTARA DEPOK,JAWA BARAT,KOTA DEPOK,SMA
704,20309691,SMKN 1 KLATEN,JAWA TENGAH,KAB. KLATEN,SMK
705,20411884,MAN 2 KULON PROGO,DI YOGYAKARTA,KAB. KULON PROGO,MA
706,20321448,SMK NEGERI 2 TEMANGGUNG,JAWA TENGAH,KAB. TEMANGGUNG,SMK
707,20327586,SMKN 2 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMK
708,20584134,MAN 1 BLITAR,JAWA TIMUR,KAB. BLITAR,MA
709,20310420,SMAN 2 SUKOHARJO,JAWA TENGAH,KAB. SUKOHARJO,SMA
710,20363221,MAS PPMI ASSALAAM,JAWA TENGAH,KAB. SUKOHARJO,MA
711,20400416,SMK NEGERI 1 BANTUL,DI YOGYAKARTA,KAB. BANTUL,SMK
712,20402795,SMA NEGERI 1 TEMON,DI YOGYAKARTA,KAB. KULON PROGO,SMA
713,60725017,MAN 10 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,MA
714,20215991,SMAN 1 SINDANG,JAWA BARAT,KAB. INDRAMAYU,SMA
715,20219247,SMAN 25 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
716,10497552,SMA IT AL ITTIHAD,RIAU,KOTA PEKANBARU,SMA
717,20533816,SMKN 4 MALANG,JAWA TIMUR,KOTA MALANG,SMK
718,20100218,SMAN 20 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
719,20330332,SMKN 1 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,SMK
720,20219238,SMAN 15 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
721,20220334,SMAN 4 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
722,20331830,SMKS FARMASI NASIONAL SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMK
723,20505026,SMKN 1 TUBAN,JAWA TIMUR,KAB. TUBAN,SMK
724,69943715,SMA AL ADZKAR,BANTEN,KOTA TANGERANG SELATAN,SMA
725,20306806,SMA NEGERI 2 WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMA
726,20303246,SMAN 2 PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,SMA
727,20223136,SMKN 1 KOTA BEKASI,JAWA BARAT,KOTA BEKASI,SMK
728,20325279,SMAN 3 SLAWI,JAWA TENGAH,KAB. TEGAL,SMA
729,20219240,SMAN 13 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
730,20231308,SMAS KORNITA,JAWA BARAT,KAB. BOGOR,SMA
731,20305025,SMAN 2 KEBUMEN,JAWA TENGAH,KAB. KEBUMEN,SMA
732,50101121,SMAN 1 TABANAN,BALI,KAB. TABANAN,SMA
733,20502724,SMAN 1 MOJOSARI,JAWA TIMUR,KAB. MOJOKERTO,SMA
734,20305026,SMAN 1 PREMBUN,JAWA TENGAH,KAB. KEBUMEN,SMA
735,10901156,SMKN 1 PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,SMK
736,20584616,MAN SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,MA
737,50101696,SMAN 1 KUTA UTARA,BALI,KAB. BADUNG,SMA
738,20508468,SMKN 1 NGAWI,JAWA TIMUR,KAB. NGAWI,SMK
739,20275048,SMAN 16 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
740,20501695,SMKN 2 BUDURAN,JAWA TIMUR,KAB. SIDOARJO,SMK
741,20323503,SMA NEGERI 1 WIRADESA,JAWA TENGAH,KAB. PEKALONGAN,SMA
742,20322744,SMA NEGERI 1 BATANG,JAWA TENGAH,KAB. BATANG,SMA
743,20229150,SMAS CAKRA BUANA,JAWA BARAT,KOTA DEPOK,SMA
744,20219277,SMAS YAS BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
745,20519303,SMAN 1 BANGIL,JAWA TIMUR,KAB. PASURUAN,SMA
